"","Var1","Freq"
"1","	Going_Out",345007
"2","0",30
"3","Brushing_Teeth",19074
"4","Changing_Clothes",16365
"5","Cleaning",4146
"6","Having_Breakfast",48778
"7","Having_Conversation",15867
"8","Having_Dinner",24387
"9","Having_Guest",5994
"10","Having_Lunch",23353
"11","Having_Shower",37361
"12","Having_Snack",21187
"13","Laundry",4108
"14","Listening_to_Music",14397
"15","Napping",16460
"16","Other",59988
"17","Preparing_Breakfast",34116
"18","Preparing_Dinner",33666
"19","Preparing_Lunch",28903
"20","Reading_Book",54979
"21","Sleeping",853356
"22","Studying",137444
"23","Talking_on_the_Phone",115403
"24","Toileting",60930
"25","Using_Internet",289680
"26","Washing_Dishes",23617
"27","Watching_TV",303404
