"","Var1","Freq"
"1","0",30
"2","Brushing Teeth",3967
"3","Changing Clothes",9749
"4","Cleaning",2648
"5","Going Out",1048635
"6","Having Breakfast",15000
"7","Having Conversation",17833
"8","Having Dinner",4974
"9","Having Lunch",4364
"10","Having Shower",6316
"11","Having Snack",2719
"12","Laundry",1855
"13","Listening to Music",439
"14","Other",56033
"15","Preparing Breakfast",15084
"16","Preparing Dinner",7507
"17","Preparing Lunch",10187
"18","Reading Book",20966
"19","Sleeping",900053
"20","Studying",226800
"21","Talking on the Phone",70
"22","Toileting",13047
"23","Using Internet",5866
"24","Washing Dishes",1923
"25","Watching TV",215935
