"Activities","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"	Going_Out",40395,50516,41171,36670,47361,54463,46943,16649,51368,51144,51010,86399,36518,36495,31929,3339,48522,45444,34942,58130,50416,86399,42231,86399,51164,69209,31392,33035,29782,17245
"0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Brushing_Teeth",450,274,795,221,239,1051,0,423,258,1117,295,0,643,202,250,594,123,330,286,413,192,0,907,0,394,484,157,197,170,272
"Changing_Clothes",136,882,407,864,853,863,716,279,832,834,1135,0,625,706,753,613,1217,1223,654,906,1543,0,0,0,1624,262,906,1126,930,323
"Having_Breakfast",0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,194,952,0,0,0,0
"Having_Conversation",0,2335,350,223,0,500,253,3756,1396,0,0,0,0,0,0,0,1148,14,0,0,0,0,0,0,1001,661,159,0,1133,392
"Having_Dinner",1716,0,1185,1322,0,0,0,0,0,0,853,0,1085,2369,0,1012,0,996,1493,0,0,0,0,0,0,0,1319,657,1612,2311
"Having_Shower",1037,0,790,0,0,1818,987,1297,644,745,141,0,396,0,2482,986,2368,0,754,0,1711,0,0,0,1887,0,0,697,0,1345
"Having_Snack",156,2088,618,1924,914,1911,0,2654,1915,3135,0,0,1442,409,1316,3691,2188,2568,2555,1203,1424,0,97,0,0,0,286,0,209,950
"Laundry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,483,0
"Listening_to_Music",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0
"Napping",0,0,0,0,0,1449,9879,4962,0,0,1851,0,14299,0,14429,10092,0,0,9904,4480,0,0,0,0,0,0,2611,1799,4286,8638
"Other",0,465,1191,85,1142,0,610,227,321,309,179,0,402,3017,3053,2388,46,2763,1814,142,3526,0,0,0,170,411,188,676,1152,845
"Preparing_Breakfast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,232,519,0,0,0,0
"Preparing_Dinner",0,0,2245,1503,0,0,0,0,0,0,460,0,2820,2838,0,3739,0,1062,0,0,0,0,0,0,0,0,2385,1081,3499,3004
"Reading_Book",0,783,963,0,2201,0,731,544,0,0,0,0,0,0,90,2828,1138,0,1196,0,0,0,0,0,0,0,197,2400,444,1162
"Shaving",497,496,0,631,661,621,551,0,545,616,549,0,436,1064,0,0,545,671,697,708,747,0,683,0,493,747,630,371,0,422
"Sleeping",18422,20442,21548,29148,22066,19725,19531,22847,20095,18839,21114,0,18629,18680,14972,20722,20862,20805,13767,17859,19872,0,25476,0,27064,92,25448,21711,21364,18614
"Studying",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5658,0,0,1756,0
"Talking_on_the_Phone",1073,979,2179,3528,1189,0,0,2893,0,0,2131,0,0,1641,1016,6347,578,2658,865,0,1025,0,1074,0,0,1513,2362,2553,3556,5903
"Toileting",660,1284,1255,1198,1843,1482,1666,1857,1720,1473,1450,0,925,1484,1125,2823,1679,1679,1999,562,1941,0,2497,0,1866,166,1370,2370,1328,2237
"Using_Internet",10317,2484,521,2859,6473,0,1738,3591,6072,0,2454,0,0,2866,1486,0,5689,0,0,0,3401,0,9255,0,310,2221,1871,5168,741,8795
"Washing_Dishes",157,0,61,165,262,630,0,0,198,1214,312,0,432,864,197,617,296,257,266,383,315,0,0,0,0,0,862,198,609,602
"Watching_TV",11383,3371,10979,6058,1195,1886,2794,24420,1035,6973,2465,0,7747,13764,13301,26608,0,5929,15207,1613,286,0,3703,0,0,3504,13970,11857,13345,13339
