"","Var1","Freq"
"1","0",30
"2","Other",25122
"3","	Going_Out",1366680
"4","Preparing_Breakfast",1024
"5","Having_Breakfast",1490
"6","Preparing_Dinner",24636
"7","Having_Dinner",17930
"8","Washing_Dishes",8897
"9","Having_Snack",33653
"10","Sleeping",539714
"11","Watching_TV",216732
"12","Studying",7414
"13","Having_Shower",20085
"14","Toileting",41939
"15","Napping",88679
"16","Using_Internet",78312
"17","Reading_Book",14677
"18","Laundry",986
"19","Shaving",13381
"20","Brushing_Teeth",10737
"21","Talking_on_the_Phone",45063
"22","Listening_to_Music",286
"23","Having_Conversation",13321
"24","Changing_Clothes",21212
