"","Var1","Freq"
"1","0",30
"2","Other",34667
"3","Going Out",1416389
"4","Preparing Breakfast",137
"5","Having Breakfast",13873
"6","Having Lunch",1934
"7","Having Dinner",2796
"8","Having Snack",145
"9","Sleeping",725953
"10","Watching TV",142063
"11","Studying",7814
"12","Having Shower",4524
"13","Toileting",19799
"14","Napping",13178
"15","Using Internet",104093
"16","Reading Book",74922
"17","Shaving",1576
"18","Brushing Teeth",1419
"19","Talking on the Phone",148
"20","Having Conversation",17718
"21","Changing Clothes",8822
